period,sd,exit,n,mean,null,edge,p,hold
40,3.0,40d,255,6.3297380391995235,1.9655077210452139,4.364230318154309,0.0016638935108153079,41.0
40,3.0,20d,255,5.07620907942011,0.9773403796116535,4.098868699808456,0.0016638935108153079,21.0
30,3.0,20d,309,4.4524523850846585,0.9740226687601135,3.478429716324545,0.0016638935108153079,21.0
40,2.5,20d,675,3.9853717755235314,1.0591127755634764,2.926258999960055,0.0016638935108153079,21.0
40,3.0,bb_upper,255,5.726095997492086,3.004392723650058,2.7217032738420284,0.004991680532445923,60.0
30,3.0,40d,309,4.622659416480044,2.0656664270111667,2.556992989468877,0.0033277870216306157,41.0
40,2.5,40d,675,4.659758787288261,2.1380751148502335,2.521683672438028,0.0016638935108153079,41.0
30,3.0,bb_mid,309,3.314524119356493,0.957797674219136,2.3567264451373573,0.0016638935108153079,19.0
20,2.5,20d,948,3.118178524130886,1.0141810090340626,2.1039975150968235,0.0016638935108153079,21.0
40,2.5,bb_mid,675,2.9828311074863914,1.0912306261675269,1.8916004813188645,0.0016638935108153079,22.0
40,3.0,bb_mid,255,2.970765056279339,1.1006710393534342,1.8700940169259048,0.009983361064891847,22.0
30,3.0,bb_upper,309,4.876160591617432,3.107403849044166,1.7687567425732658,0.048252911813643926,60.0
30,2.5,20d,814,2.7694003701646692,1.0113542256929373,1.758046144471732,0.0016638935108153079,21.0
30,2.5,bb_mid,814,2.6140239693367673,0.8931245400873293,1.720899429249438,0.0016638935108153079,19.0
20,2.5,40d,947,3.884139830859482,2.1823206870617167,1.7018191437977652,0.004991680532445923,41.0
10,2.0,bb_upper,2713,2.7533823126959907,1.0851713854879654,1.6682109272080252,0.0016638935108153079,22.0
40,2.5,bb_upper,675,4.8645097566058055,3.22082184213945,1.6436879144663554,0.024958402662229616,60.0
20,2.5,bb_mid,948,2.170886840691161,0.6094918911344132,1.5613949495567478,0.0016638935108153079,13.0
40,2.0,40d,1458,3.6373621568002084,2.1408673725130973,1.496494784287111,0.0016638935108153079,41.0
30,2.5,40d,814,3.4555583069768283,2.14350712444883,1.3120511825279983,0.011647254575707155,41.0
40,1.5,40d,2644,3.3492709778139544,2.1251695115997777,1.2241014662141767,0.0016638935108153079,41.0
30,2.0,40d,1682,3.2381272740091154,2.094963700306514,1.1431635737026014,0.004991680532445923,41.0
20,3.0,20d,305,2.2047431002063784,1.0689571196977419,1.1357859805086366,0.048252911813643926,21.0
40,2.0,bb_mid,1460,2.1966248582097263,1.0614161189892521,1.1352087392204742,0.0016638935108153079,22.0
30,2.0,bb_mid,1683,1.9399401891784027,0.8080537512164419,1.1318864379619609,0.0016638935108153079,17.0
40,2.0,20d,1460,2.136102018103639,1.0268556910976718,1.1092463270059674,0.0016638935108153079,21.0
30,1.5,40d,2885,3.2097726084191938,2.117314429694475,1.0924581787247187,0.0016638935108153079,41.0
40,2.5,10d,675,1.5311600618552572,0.4444926296236423,1.086667432231615,0.0016638935108153079,11.0
30,2.0,20d,1683,2.1017768087550786,1.0284316834353744,1.0733451253197042,0.0016638935108153079,21.0
20,2.0,bb_mid,2080,1.5838177742937516,0.5393094687036192,1.0445083055901323,0.0016638935108153079,12.0
14,2.0,bb_upper,2454,2.3209482706069062,1.2849616324690067,1.0359866381378995,0.0016638935108153079,25.0
40,1.5,bb_mid,2659,1.9737103682288515,0.9426728669062898,1.0310375013225617,0.0016638935108153079,20.0
14,2.0,40d,2442,3.173337731848646,2.1475138552802475,1.0258238765683987,0.004991680532445923,41.0
20,2.0,20d,2080,2.0427222225790813,1.0427053459157356,1.0000168766633457,0.0016638935108153079,21.0
40,1.5,20d,2659,2.0201906622541235,1.0380816418176477,0.9821090204364757,0.0016638935108153079,21.0
14,2.0,20d,2454,2.0252859600624937,1.0523119436730803,0.9729740163894134,0.0016638935108153079,21.0
20,2.0,40d,2077,3.1461733578022764,2.1744907950605166,0.9716825627417598,0.0066555740432612314,41.0
14,1.5,bb_upper,3870,1.7181338387970375,0.7604832885069086,0.9576505502901289,0.0016638935108153079,16.0
10,2.0,20d,2713,1.9866687646311518,1.059284452587787,0.9273843120433649,0.0016638935108153079,21.0
30,1.5,bb_mid,2898,1.6422914465280367,0.7171681197827101,0.9251233267453266,0.0016638935108153079,16.0
30,1.5,20d,2898,1.8930364851093326,1.02018635801099,0.8728501270983426,0.0016638935108153079,21.0
10,2.0,40d,2706,3.023298047608268,2.174571000172135,0.848727047436133,0.004991680532445923,41.0
20,3.0,bb_mid,305,1.5307945220457873,0.6825253099860543,0.8482692120597329,0.07653910149750416,14.0
20,1.5,bb_upper,3304,1.8873689369220956,1.058676354408769,0.8286925825133267,0.0016638935108153079,21.0
20,1.5,40d,3286,2.966251438082615,2.1461035323524555,0.8201479057301593,0.009983361064891847,41.0
10,1.5,bb_upper,4573,1.3074622166699226,0.505093797722328,0.8023684189475946,0.0016638935108153079,12.0
40,3.0,10d,255,1.2095348601839309,0.41201274372951024,0.7975221164544206,0.07487520798668885,11.0
30,2.0,bb_upper,1683,3.0006190910204116,2.215123268285844,0.7854958227345676,0.028286189683860232,43.0
20,1.5,20d,3304,1.8229625166536145,1.0395473519757654,0.7834151646778491,0.0016638935108153079,21.0
20,2.0,bb_upper,2080,2.413464194932606,1.6344421199670827,0.7790220749655232,0.008319467554076539,32.0
20,1.5,bb_mid,3304,1.2461544898464967,0.4737716438252674,0.7723828460212293,0.0016638935108153079,11.0
40,2.5,5d,675,0.923132503113415,0.16528688431637653,0.7578456187970385,0.0016638935108153079,6.0
10,1.5,40d,4546,2.9234024631727578,2.173043721417133,0.7503587417556248,0.0016638935108153079,41.0
14,2.0,bb_mid,2454,1.1188076508669784,0.3724398087628795,0.7463678421040989,0.0016638935108153079,9.0
30,1.5,bb_upper,2898,2.2785794031599216,1.546045778437771,0.7325336247221506,0.0033277870216306157,30.0
30,3.0,10d,309,1.1222929324761,0.3917616168840432,0.7305313155920568,0.04991680532445923,11.0
10,2.0,bb_mid,2713,0.9421661292424949,0.216135163584997,0.7260309656574979,0.0016638935108153079,7.0
10,1.5,20d,4571,1.7456709093259872,1.0432796603814245,0.7023912489445627,0.0016638935108153079,21.0
30,2.5,bb_upper,814,3.8524743264083057,3.1909187641081305,0.6615555623001752,0.18136439267886856,60.0
40,2.0,bb_upper,1460,3.399352252975895,2.7711731795719357,0.6281790734039592,0.09317803660565724,54.0
20,2.5,bb_upper,948,3.787038390483353,3.1696619450660477,0.6173764454173054,0.16971713810316139,60.0
14,1.5,40d,3845,2.7674281878315687,2.1546519961589095,0.6127761916726593,0.018302828618968387,41.0
20,2.5,10d,948,1.0421314284439067,0.4585623245207835,0.5835691039231232,0.016638935108153077,11.0
20,3.0,40d,305,2.7260500000553503,2.154484164406687,0.5715658356486633,0.2778702163061564,41.0
14,1.5,20d,3870,1.6110284068554181,1.0478113629657406,0.5632170438896775,0.0016638935108153079,21.0
40,1.5,bb_upper,2659,2.508476347824271,1.9730687200820853,0.5354076277421858,0.04159733777038269,39.0
14,1.5,bb_mid,3870,0.8208011581369076,0.2925832211145432,0.5282179370223643,0.0016638935108153079,8.0
30,2.5,5d,814,0.6479688181749976,0.1575278248523398,0.49044099332265784,0.024958402662229616,6.0
30,2.5,10d,814,0.9557969942506043,0.48052513315411033,0.47527186109649394,0.04991680532445923,11.0
14,2.5,20d,909,1.5215127644343942,1.0588944380603744,0.4626183263740198,0.11148086522462562,21.0
40,2.0,10d,1460,0.8948088404702289,0.43386665025562726,0.46094219021460164,0.013311148086522463,11.0
40,3.0,5d,255,0.6008073156999955,0.14457487925744208,0.4562324364425534,0.13976705490848584,6.0
40,2.0,5d,1460,0.5855708868886128,0.15258939731530682,0.43298148957330596,0.004991680532445923,6.0
10,1.5,bb_mid,4573,0.6108622577781901,0.17903842024086633,0.4318238375373238,0.0016638935108153079,6.0
40,1.5,10d,2659,0.8238152977100535,0.44757048860040755,0.3762448091096459,0.013311148086522463,11.0
30,2.0,10d,1683,0.8084929548477691,0.4573706778027369,0.3511222770450322,0.05490848585690516,11.0
20,2.5,5d,948,0.529506024508735,0.17869077859248905,0.3508152459162459,0.0632279534109817,6.0
30,3.0,5d,309,0.47959017249517105,0.14995964204173742,0.3296305304534336,0.1713810316139767,6.0
30,2.0,5d,1683,0.46812583864958957,0.14904057061292478,0.3190852680366648,0.02329450915141431,6.0
14,2.5,bb_mid,909,0.7085988533206324,0.4120700666510697,0.2965287866695627,0.1314475873544093,10.0
10,2.0,5d,2713,0.4390821485112301,0.16348801907101013,0.27559412944022,0.013311148086522463,6.0
10,2.0,10d,2713,0.7175586869648206,0.4723730025542515,0.2451856844105691,0.07820299500831947,11.0
40,1.5,5d,2659,0.391414385610766,0.15428606302831355,0.23712832258245248,0.021630615640599003,6.0
30,1.5,10d,2898,0.6647542189823082,0.45626122626184895,0.2084929927204593,0.09151414309484193,11.0
14,2.5,40d,909,2.3414404376760856,2.1790795310249353,0.16236090665115022,0.3643926788685524,41.0
30,1.5,5d,2898,0.30920217870635636,0.16329311641476169,0.14590906229159467,0.08985024958402663,6.0
14,2.0,5d,2454,0.28347731719398395,0.16099318874910087,0.12248412844488307,0.15307820299500832,6.0
14,2.0,10d,2454,0.5731589544587488,0.47255387488615,0.10060507957259873,0.2628951747088186,11.0
10,1.5,10d,4571,0.5548041612136507,0.47556347041955616,0.07924069079409457,0.24459234608985025,11.0
